year,pm,party,title,footnote,source,url
2025,Narendra Modi,BJP,,"English rendering of Prime Minister Shri Narendra Modi's address from the ramparts of Red Fort on the occasion of 79th Independence Day",Press Information Bureau,https://pib.gov.in/
2024,Narendra Modi,BJP,,"English rendering of Prime Minister, Shri Narendra Modi's address from the ramparts of Red Fort on the occasion of 78th Independence Day",Press Information Bureau,https://pib.gov.in/
2023,Narendra Modi,BJP,,"English rendering of Prime Minister, Shri Narendra Modi's address from the ramparts of Red Fort on the occasion of 77th Independence Day",Press Information Bureau,https://pib.gov.in/
2022,Narendra Modi,BJP,,English rendering of the text of PM’s address from the Red Fort on 76th Independence Day,Press Information Bureau,https://pib.gov.in/
2021,Narendra Modi,BJP,,English rendering of the text of PM’s address from the Red Fort on 75th Independence Day,Press Information Bureau,https://pib.gov.in/
2020,Narendra Modi,BJP,,"English rendering of Prime Minister Shri Narendra Modi’s address to the Nation from the ramparts of the Red Fort on the 74th Independence Day- August 15, 2020 ",Press Information Bureau,https://pib.gov.in/
2019,Narendra Modi,BJP,,"English rendering of Prime Minister Shri Narendra Modi’s address to the Nation from the ramparts of the Red Fort on the 73rd Independence Day- August, 15, 2019",Press Information Bureau,https://pib.gov.in/
2018,Narendra Modi,BJP,,"English rendering of Prime Minister Shri Narendra Modi’s address to the Nation from the ramparts of the Red Fort on the 72nd Independence Day- August, 15, 2018",Press Information Bureau,https://pib.gov.in/
2017,Narendra Modi,BJP,,"English rendering of Prime Minister Shri Narendra Modi’s Address to the Nation from the ramparts of the Red Fort on the 71st Independence Day- August, 15, 2017",Press Information Bureau,https://pib.gov.in/
2016,Narendra Modi,BJP,,Text of the english rendering of PM Shri Narendra Modi’s address to the Nation from the ramparts of the Red Fort on the 70th Independence Day,Press Information Bureau,https://pib.gov.in/
2015,Narendra Modi,BJP,,English rendering of PM’s address to the Nation from the ramparts of the Red Fort on the 69th Independence Day,Press Information Bureau,https://pib.gov.in/
2014,Narendra Modi,BJP,,Prime Minister Shri Narendra Modi addressed the Nation from the ramparts of the Red Fort on the 68th Independence Day. Following is the English rendering of the Prime Minister’s address on the occasion:-,pmindia.gov.in,http://www.pmindia.gov.in/en/news_updates/text-of-pms-address-in-hindi-to-the-nation-from-the-ramparts-of-the-red-fort-on-the-68th-independence-day/?comment=disable
2013,Manmohan Singh,INC,,"Prime Minister, Dr. Manmohan Singh, addressed the Nation from the ramparts of the Red Fort today on the occasion of Independence Day. Following is the English rendering of the Prime Minister’s address in Hindi:,",PMO Archive,http://archivepmo.nic.in/drmanmohansingh/content_print.php?nodeid=1336&nodetype=2
2012,Manmohan Singh,INC,,Printed from the website http://www.pmindia.nic.in,PMO Archive,http://archivepmo.nic.in/drmanmohansingh/content_print.php?nodeid=1199&nodetype=2
2011,Manmohan Singh,INC,,(English rendering),PMO Archive,http://archivepmo.nic.in/drmanmohansingh/content_print.php?nodeid=1045&nodetype=2
2010,Manmohan Singh,INC,,Printed from the website http://www.pmindia.nic.in,PMO Archive,http://archivepmo.nic.in/drmanmohansingh/content_print.php?nodeid=917&nodetype=2
2009,Manmohan Singh,INC,,Printed from the website http://www.pmindia.nic.in,PMO Archive,http://archivepmo.nic.in/drmanmohansingh/content_print.php?nodeid=780&nodetype=2
2008,Manmohan Singh,INC,,Printed from the website http://www.pmindia.nic.in,PMO Archive,http://archivepmo.nic.in/drmanmohansingh/content_print.php?nodeid=677&nodetype=2
2007,Manmohan Singh,INC,,Printed from the website http://www.pmindia.nic.in,PMO Archive,http://archivepmo.nic.in/drmanmohansingh/content_print.php?nodeid=551&nodetype=2
2006,Manmohan Singh,INC,,Printed from the website http://www.pmindia.nic.in,PMO Archive,http://archivepmo.nic.in/drmanmohansingh/content_print.php?nodeid=353&nodetype=2
2005,Manmohan Singh,INC,,Printed from the website http://www.pmindia.nic.in,PMO Archive,http://archivepmo.nic.in/drmanmohansingh/content_print.php?nodeid=160&nodetype=2
2004,Manmohan Singh,INC,,"Following is the free rendering of the Prime Minister's address to the nation, in Hindi, from the ramparts of the Red Fort on the 58th Independence Day, today:,",PMO Archive,http://archivepmo.nic.in/drmanmohansingh/content_print.php?nodeid=6&nodetype=2
2003,A.B. Vajpayee,BJP,,"Following is the English rendering of the Address to the Nation by the Prime Minister, Shri Atal Bihari Vajpayee from the ramparts of Red Fort on the occasion of Independence Day today:,",PMO Archive,http://archivepmo.nic.in/abv/content_print.php?nodeid=9239&nodetype=2
2002,A.B. Vajpayee,BJP,,"Following is the English rendering of the Address to the Nation by the Prime Minister, Shri Atal Bihari Vajpayee from the ramparts of Red Fort on the occasion of Independence Day today:,",PMO Archive,http://archivepmo.nic.in/abv/content_print.php?nodeid=9040&nodetype=2
2001,A.B. Vajpayee,BJP,,"FOLLOWING IS THE ENGLISH RENDERING OF THE ADDRESS TO THE NATION IN HINDI BY THE PRIME MINISTER SHRI ATAL BIHARI VAJPAYEE ON THE OCCASION OF 54th ANNIVERSARY OF INDEPENDENCE DELIVERED HERE TODAY FROM THE RAMPARTS OF RED FORT: -,",PMO Archive,http://archivepmo.nic.in/abv/content_print.php?nodeid=9114&nodetype=2
2000,A.B. Vajpayee,BJP,,"Following is the free rendering of the Prime Minister, Shri Atal Bihari Vajpayee's speech from ramparts of the Red Fort on the occasion of Independence Day, here today:,",PMO Archive,http://archivepmo.nic.in/abv/content_print.php?nodeid=9113&nodetype=2
1999,A.B. Vajpayee,BJP,,Printed from the website http://www.archivepmo.nic.in,PMO Archive,http://archivepmo.nic.in/abv/content_print.php?nodeid=9169&nodetype=2
1998,A.B. Vajpayee,BJP,"Jai Jawan, Jai Kisan, Jai Vigyan: Harbinger of Progress",Printed from the website http://www.archivepmo.nic.in,PMO Archive,http://archivepmo.nic.in/abv/content_print.php?nodeid=9238&nodetype=2
1997,I.K. Gujral,Janata Dal,,,"Prime Ministers of India's Independence Day and Other Speeches (Pt. Jawaharlal Nehru to Dr. Manmohan Sing), Vol 2. Edited by K.V. Singh. Vista International Publishing House, Delhi, India",
1996,H.D. Deve Gowda,Janata Dal,,,"Prime Ministers of India's Independence Day and Other Speeches (Pt. Jawaharlal Nehru to Dr. Manmohan Sing), Vol 2. Edited by K.V. Singh. Vista International Publishing House, Delhi, India",
1995,P.V. Narasimha Rao,INC,,,,
1994,P.V. Narasimha Rao,INC,Our Commitment: Unity and Uplifting the Poor,"Free rendering of Independence Day speech in Hindi from the ramparts of the Red Fort, Delhi. 15 August 1994","P.V. Narasimha Rao, selected speeches, Vol 4",
1993,P.V. Narasimha Rao,INC,Unity and Stability for Sustained Growth,"Free rendering of Independence Day speech in Hindi from the ramparts of the Red Fort, New Delhi, 15 August 1993","P.V. Narasimha Rao, selected speeches, Vol 3",
1992,P.V. Narasimha Rao,INC,Towards Hopeful Future,"Free rendering of Independence Day speech in Hindi from the ramparts of the Red Fort, 15 August 1992","P.V. Narasimha Rao, selected speeches, Vol 2",
1991,P.V. Narasimha Rao,INC,Let Us March Ahead Hand in Hand,"Free rendering of Independence Day Speech in Hindi from the ramparts of the Red Fort, 15 August 1991","P.V. Narasimha Rao, selected speeches, Vol 1",
1990,V.P. Singh,Janata Dal,Pledge to Keep the Flag Flying,"Free rendering of the address in Hindi on Independence Day, Delhi, 15 August 1990","V.P. Singh, Selected Speeches and Writings, 1989-90",
1989,Rajiv Gandhi,INC,Restoring the old Glory of India,"Independence Day speech (Hindi) from Red Fort, 15 August 1989","Rajiv Gandhi, Selected Speeches and Writings, Vol 5",
1988,Rajiv Gandhi,INC,Restore India's Glory,"Free rendering of the address in Hindi from the ramparts of the Red Fort on the occasion of Independence Day, New Delhi, 15 August 1988","Rajiv Gandhi, Selected Speeches and Writings, Vol 4",
1987,Rajiv Gandhi,INC,Forty Years of Independence,"Free rendering of address in Hindi from the ramparts of the Red Fort on the occasion of the Independence Day, Delhi, 15 August 1987","Rajiv Gandhi, Selected Speeches and Writings, Vol 3",
1986,Rajiv Gandhi,INC,Make India a Land of Peace and Prosperity,"Free rendering of Independence Day speech in Hindi from the ramparts of the Red Fort, 15 August 1986","Rajiv Gandhi, Selected Speeches and Writings, Vol 2",
1985,Rajiv Gandhi,INC,Let Us Strengthen India,"Free rendering of Independence Day speech in Hindi from the ramparts of Red Fort, 15 August 1985","Rajiv Gandhi, Selected Speeches and Writings, Vol 1",
1984,Indira Gandhi,INC,Guarding the Flag of Freedom,"Free rendering of an address in Hindi from the Red Fort, Delhi, August 15,1984","Selected Speeches of Indira Gandhi: January 1, 1982-October 30, 1984",
1983,Indira Gandhi,INC,Make India Strong and Great,"Free rendering of an address in Hindi from the Red Fort, Delhi, August 15, 1983","Selected Speeches of Indira Gandhi: January 1, 1982-October 30, 1984",
